BOWL GAME,Date,X,T,ES,VH,S,R
Las Vegas Bowl,17-Dec,Oregon State,Oregon State,Florida,Oregon State,Florida,Oregon State
Famous Idaho Potato Bowl,20-Dec,San Jose State,San Jose State,San Jose State,San Jose State,Eastern Michigan,Eastern Michigan
Independence Bowl,23-Dec,Houston,Louisiana,Louisiana,Louisiana,Louisiana,Louisiana
Hawai'i Bowl,24-Dec,San Diego State,San Diego State,San Diego State,San Diego State,San Diego State,San Diego State
Holiday Bowl,28-Dec,Oregon,Oregon,Oregon,Oregon,Oregon,North Carolina
Orange Bowl,30-Dec,Tennessee,Clemson,Tennessee,Tennessee,Clemson,Tennessee
Sun Bowl,30-Dec,UCLA,UCLA,UCLA,Pitt,UCLA,Pitt
Sugar Bowl,31-Dec,Alabama,Alabama,Alabama,Alabama,,Alabama
Fiesta Bowl,31-Dec,Michigan,Michigan,Michigan,Michigan,Michigan,TCU
Rose Bowl,2-Jan,Utah,Utah,Utah,Penn State,Penn State,Utah
National Championship,Score,75,58,38,25,50,21
